DATE:01/01/2017,
Race Num:1,Track Type:Inner,Weather:Clear,Dist:1310,Condition:Fast,Track Record:1:07.93,Final Time:1:14.18,
Last_Race,Past_Race,Past_Track,Past_Pos,Pgm,Horse,Jockey,Weight,M/E,PP,Finish (Place^Dist),Odds,Fav,Comments,
18Mar16,6,AQU,1,4,Candy Counter,Arroyo/Angel,122,Lb,3,4 & 0.5,32.75,N,2p+drive_turn+_outkick,
7Dec16,5,AQU,7,9,Arietta,Velasquez/Cornelio,122,Lb,9,5 & Head,9.30,N,2p+tip_3p_5/16+5p_uppr,
7Dec16,5,AQU,2,3,Five Star Rampage,Gryder/Aaron,122,L,2,6 & 2.25,4.10,N,saved_ground+no_rally,
7Dec16,5,AQU,4,5,Frostie Anne,Ortiz/Jose,122,L,4,7 & Nose,3.65,Y,to_ins_1/2+duel+tired,
7Dec16,7,AQU,9,8,Storm Cell,Gallardo/Antonio,122,L,8,8 & 2.5,4.80,N,2p_1/2+6w+lug_in_upper,
17Nov16,3,AQU,1,10,Kiss the Flag,Garcia/Alan,122,L,10,9 & 1.25,32.50,N,4w_on_turn+_no_bids,
28Nov16,9,FL,3,2,Roman Reign,Davis/Dylan,122,Lb,1,10 & 5,18.20,N,rode_rail_no_avail,
28Jan16,3,AQU,2,7,Head Shrinker,Luzzi/Michael,122,Lbf,7,11 & 2.5,7.60,N,3w_3/8+_tired,
26Mar16,1,AQU,3,6,His Girl Friday,Davis/Jacqueline,122,bf,5,12 & Last,19.90,N,2p_&_btwn_foes_turn,
Race Num:8,Track Type:Inner,Weather:Showery,Dist:1830,Condition:(Sealed),Track Record:1:38.92,Final Time:1:46.17,
Last_Race,Past_Race,Past_Track,Past_Pos,Pgm,Horse,Jockey,Weight,M/E,PP,Finish (Place^Dist),Odds,Fav,Comments,
19Nov16,4,LRL,1,6,El Areeb,McCarthy/Trevor,120,Lbf,6,1 & 11.25,2.80,N,tracked_2p+_went_clear,
10Dec16,9,LRL,2,1,Bonus Points,Franco/Manuel,116,L,1,2 & 0.5,14.60,N,bobbled_st+_up_for_2nd,
10Dec16,4,AQU,1,4,True Timber,Carmouche/Kendrick,117,L,4,3 & 0.75,21.90,N,saved_grd+_improved,
26Nov16,8,AQU,4,7,Win With Pride,Ortiz/Jr./Irad,116,L,7,4 & 5.25,4.20,N,bumped_st+_3w_1st_turn,
27Nov16,6,AQU,1,2,Everybodyluvsrudy,Arroyo/Angel,116,L,2,5 & 20,7.10,N,5-6w_uppr+_weakened,
2Dec16,3,AQU,3,5,The Walk,Davis/Dylan,116,L,5,6 & 1.5,37.00,N,3w_upper+_no_impact,
26Nov16,8,AQU,3,3,Takaful,Ortiz/Jose,116,L,3,7 & Last,1.05,Y,in_hand_ins+_empty,
Race Num:9,Track Type:Inner,Weather:Showery,Dist:1830,Condition:(Sealed),Track Record:1:38.92,Final Time:1:48.68,
Last_Race,Past_Race,Past_Track,Past_Pos,Pgm,Horse,Jockey,Weight,M/E,PP,Finish (Place^Dist),Odds,Fav,Comments,
